Name   injected: RA [deg] DEC [deg] X [pix] Y [pix]   detected: RA [deg] DEC [deg] X [pix] Y [pix]
TOn9   150.87223172 2.20801797 1961.037763 2334.888183   8.316818 26.206837 1952.408145 2324.389477
TOn8   149.95046984 1.34858808 2922.367072 1666.930547   0.498982 25.349566 2923.369305 1667.924039
TOn7   148.79065379 3.42484431 3984.464866 3581.977756   352.399332 27.419078 3788.680922 3406.050611
TOn6   151.31938745 2.12191373 1119.749081 1612.991418   348.436049 26.117696 1120.740218 1613.993774
TOn55   149.97993025 2.55691525 2729.412919 2627.045732   340.152827 26.557986 2756.456977 2653.103446
TOn54   149.97794387 2.20620934 2745.746545 2333.144952   333.358531 26.207295 2714.442780 2306.690351
TOn53   151.43776741 2.89537833 1456.006608 2919.946876   328.200065 26.889454 1474.304773 2955.505530
TOn52   149.96126107 3.90031777 2874.405061 3978.954707   319.752951 27.901304 2932.991297 4059.478418
TOn51   149.57609876 2.15528688 3260.603875 2408.372063   312.533924 26.155279 3211.142167 2371.946840
TOn50   150.91079974 2.75529242 2042.417321 2983.234253   307.231630 26.753861 1932.254182 2821.817612
TOn5   150.63960885 1.59329052 2163.384073 1793.706461   300.130312 25.593298 2119.064365 1756.988377
TOn49   150.01260756 1.16522935 2786.507391 1455.996358   292.643076 25.166506 2340.249770 1223.503973
TOn48   151.54375849 2.87854376 1236.457354 2634.599825   287.563878 26.871367 1458.963318 3107.193210
TOn47   150.50532211 3.08651498 2280.611494 3102.689894   279.609409 27.087017 2273.021365 3091.795726
TOn46   149.71592970 2.93622168 2124.067075 2123.159869   271.932158 26.936731 3029.500135 3028.208057
TOn45   150.32042915 3.68850572 2392.547544 3556.287590   265.818277 27.689482 2393.547611 3557.285302
TOn44   149.94986692 3.50852315 2752.357135 3454.175290   258.608567 27.509444 2943.652649 3694.013118
TOn43   151.21145510 2.67476873 1744.625077 2878.320041   253.227474 26.671059 1651.394991 2724.115177
TOn42   148.86110391 3.25256533 3956.599608 3454.911841   243.801261 27.247441 3841.612143 3354.595113
TOn41   150.42869791 1.02447040 2436.531736 1343.059129   238.762979 25.025134 2494.614050 1375.589260
TOn40   151.06488217 3.57626454 1775.267631 3501.660240   232.694192 27.573786 1793.292698 3536.125639
TOn4   149.54750587 1.46750185 3267.102002 1761.924629   224.203722 25.467372 3318.967107 1790.425593
TOn39   150.23350254 2.76913175 2484.231677 2785.594028   218.172117 26.770204 2522.564988 2828.413872
TOn38   150.98074048 3.55780010 1982.288036 3737.903801   212.223093 27.553512 1876.535549 3537.968694
TOn37   149.61691250 1.64635580 3242.829549 1949.962032   203.902333 25.646507 3135.723334 1885.873802
TOn36   149.17810962 1.31257861 3420.611424 1536.228942   196.625960 25.310320 3441.235976 1546.007175
TOn35   149.94720879 2.50798539 2921.074975 2737.137777   190.682510 26.508968 2850.456009 2671.063326
TOn34   150.91079974 2.75529242 1347.428097 1968.175659   184.967517 26.753808 1927.088669 2814.292583
TOn33   150.07234566 3.47656058 2663.901593 3449.898236   177.237007 27.477659 2730.523107 3535.937416
TOn32   150.58964256 3.37772868 1656.052479 2519.794479   171.025808 27.378197 1765.161981 2685.329586
TOn31   149.23968432 1.87294472 3418.283165 2055.347668   162.727546 25.871116 3408.988480 2050.136491
TOn30   148.53913083 2.26115448 4151.029871 2467.175959   155.151904 26.252577 4183.733291 2487.197932
TOn3   148.68578854 3.30713351 4119.744751 3505.971598   148.509397 27.300030 4120.756996 3506.841178
TOn29   150.35410656 1.99877694 2523.787957 2247.211304   144.047125 -15.999881 2414.762848 2150.394774
TOn28   151.16990691 3.32578773 1745.095021 3403.612122   138.570927 -14.669602 1307.215867 2548.640500
TOn27   149.20938995 2.72001998 3422.577166 2786.717692   130.229241 -15.276685 3403.736604 2771.739478
TOn26   150.45502883 2.66804244 2470.257548 2907.092127   125.203275 -15.330524 2332.665858 2744.840435
TOn25   149.30829828 3.11683589 3331.519238 3131.748746   117.701939 -14.880374 3313.467409 3114.853026
TOn24   148.82724035 2.19196114 3957.909358 2446.201205   110.882232 -15.802381 3813.257601 2357.375576
TOn23   150.52070392 2.46909692 2261.825548 2555.259793   106.324417 -15.529293 2278.326108 2573.773544
TOn22   149.30829828 3.11683589 3339.176852 3138.931617   98.754632 -14.880491 3369.212238 3167.173441
TOn21   150.27319278 1.28610755 1966.622535 1206.166699   93.437299 -16.712784 2480.061945 1521.474109
TOn20   149.64856582 3.55887516 3078.110097 3571.837251   86.475601 -14.439606 3118.266496 3618.182095
TOn2   151.51766833 1.74337406 1393.453187 1925.947088   82.100985 -16.249932 1394.420932 1926.904945
TOn19   150.15036542 2.04023720 2755.932199 2323.490034   74.361625 -15.958669 2745.092379 2314.581289
